episode,eval_mean,eval_std,train_mean,best_eval,time
100,-127.86918378683295,53.54199811775899,-152.73153722324926,-127.86918378683295,1.356835126876831
200,-89.2657337982974,44.401716016415634,-131.35262664641735,-89.2657337982974,2.6963140964508057
300,-104.106705108037,28.670099329195533,-146.19981048197337,-89.2657337982974,4.1611151695251465
400,-125.03820640691765,37.07468490377411,-133.98832552590181,-89.2657337982974,5.536020040512085
500,-130.51433803920824,28.13075676968061,-143.79562968774493,-89.2657337982974,6.999539852142334
600,-133.11954803605988,61.80170968244086,-135.7947245965982,-89.2657337982974,8.424647569656372
700,-143.85517155384585,18.127381485293263,-134.27398487400788,-89.2657337982974,9.810212135314941
800,-127.42759174783725,56.1342450712188,-142.3775351050654,-89.2657337982974,11.166879892349243
900,-146.9114629857472,17.653140454733244,-139.67939349905046,-89.2657337982974,12.510993003845215
1000,-133.64593905131636,39.99584472494419,-132.61157528642244,-89.2657337982974,13.850878238677979
1100,-119.2619235566822,35.167994927671245,-135.95236462364542,-89.2657337982974,15.2819983959198
1200,-136.83673799479263,35.96128176439397,-128.6727181497083,-89.2657337982974,16.65513849258423
1300,-118.60623031386847,58.75718294535895,-134.88302319059167,-89.2657337982974,18.05272078514099
1400,-118.55086182469138,16.274143776559487,-134.4667762197405,-89.2657337982974,19.488723754882812
1500,-114.75102545107765,44.03205144332012,-135.9163949587168,-89.2657337982974,20.798868656158447
1600,-157.99270962756452,37.04790475360517,-125.32729262012651,-89.2657337982974,22.131244659423828
1700,-137.20627375507632,20.193401607636957,-134.98182340610774,-89.2657337982974,23.48511290550232
1800,-142.59129167721554,44.591111696564994,-132.63334562002322,-89.2657337982974,24.86099624633789
1900,-133.58080237871854,50.27618534419769,-139.58396380622162,-89.2657337982974,26.181163549423218
2000,-134.723455122012,14.35500431568565,-138.7344891665592,-89.2657337982974,27.511381149291992
2100,-116.11403443325852,17.79853151141391,-131.74106569990442,-89.2657337982974,28.818076133728027
2200,-116.98588213134238,26.399945592694205,-126.60531299480168,-89.2657337982974,30.11641836166382
2300,-152.65007928169936,20.916137932988793,-127.45127078471067,-89.2657337982974,31.401281118392944
2400,-136.54611724099712,19.291587311403436,-130.2910250883533,-89.2657337982974,32.677335023880005
2500,-127.16255501546183,49.675643975855785,-133.4402871331772,-89.2657337982974,33.97437620162964
2600,-134.0677322336805,58.82259731104497,-125.6960814426716,-89.2657337982974,35.31820583343506
2700,-132.75902835290336,34.89777572829286,-133.6466126111536,-89.2657337982974,36.59263873100281
2800,-114.21296629053852,42.875043280234486,-128.08736371705928,-89.2657337982974,37.84804558753967
2900,-121.36004752951048,24.65185681463911,-128.18342465037526,-89.2657337982974,39.11666488647461
3000,-127.01024946097675,48.43019750968773,-131.37989377340432,-89.2657337982974,40.460880517959595
