gen,best_fitness,ff_lr_0,ff_lr_1,ff_lr_2,thresh_0,thresh_1,thresh_2,plasticity_0,plasticity_1,plasticity_2,activation_mix
0,-99.72672847876083,0.003960666706189496,0.000253071961271088,0.0009269611546439872,0.7332059157009211,0.7851873671274548,4.144435006345857,0.01022852084545207,0.9329979664603114,0.005806600729040599,0.6815027222239293
1,-70.93409424527559,0.026166187952309638,0.0020195267405804583,0.03702189257191835,2.8866877589031184,2.3154963979774483,5.1682992009217585,0.033140099105524096,0.4281436614333503,0.0025008571588343276,0.6490058072431866
2,-114.88227106732066,9.830727370628418e-05,0.07560984166452792,0.00015349121156648702,4.9373848525748425,3.4205581580729403,2.7857598963866654,0.0006433750679876498,1.0,0.48078562279822024,0.3002325002258748
3,-116.75911282576396,0.055338876194389715,0.0137543669572373,0.007615945434909797,1.8898052158658862,4.322032824934379,1.2542985710144388,0.003175368765481916,0.07835542120057136,0.20912247151146926,0.2758777124355418
4,-117.19546416715441,0.00564174876995319,0.007615164510136661,0.00839024541051887,4.600001576414682,4.074945969953453,4.113831425889473,0.002747325998106892,0.14765282956399384,0.02621393885875111,0.4175626485760756
5,-114.5583456287629,0.02891863429122784,0.04022283349276946,0.007402511952493743,2.1241694308336916,4.975577330585351,1.1345938459093325,0.003401110106173279,0.09395009282729082,0.04853880996078272,0.03836389812326171
6,-79.99795695736701,0.02032761754042707,0.035978918732803934,0.005224145504332903,1.5889109992244883,5.146559454292561,1.3302876288910745,0.004921585294696054,0.08122751881730862,0.053557318565438154,0.014673982724519107
7,-94.98291991562284,0.037847642879473266,0.011481881965256477,0.01653172950836576,2.1109254675277045,5.029908124186818,0.1,0.00221764144103644,0.09739343190410354,0.12714823538348569,0.33250344892029665
8,-105.23815357298162,0.06847875924572137,0.01634904544697525,0.007342643429985962,2.0464456938581113,4.469404074728551,0.665731762712311,0.00548755029398524,0.057048369965796195,0.20614354046645259,0.3845427830287621
9,-89.64219429501108,0.07862818503456022,0.01575384097025536,0.0034922328229791896,1.0358784017983202,5.0611370563349904,0.6247813238746763,0.002756284696535382,0.031815903673317845,0.14387294681690158,0.4320601244194223
10,-94.20174045808878,0.002756613213217483,0.0038180537104665468,0.012761726542320788,0.1,1.026274380126182,2.2916940429235897,0.023455556172512836,0.0012864481502773374,0.0008163768560558551,0.21683685034331193
11,-42.96388173623287,0.01897513886884012,0.0044001046755574895,0.025884091680945204,1.6596395319268042,4.956870821420545,0.27552699265323377,0.003170116309441931,0.26088850992537277,0.19486683541696564,0.20561741530011154
12,-99.33155686565641,0.00464406618606472,0.00042305436328596475,0.00020167756808200658,6.88747443549323,4.9132482062484275,2.5623235895818817,0.004881735415914527,0.030095610387482163,0.12208049825114019,0.5322951309609806
13,-96.02772349107349,0.18983756103171476,0.006871489257573226,0.0658281560579885,2.9528131187629705,2.5842622166871556,3.7785868247309984,0.0410452569328835,0.1667736803986693,0.004003919997858723,0.5781600063102573
14,-100.87150655613763,0.2965878647713969,0.005071487272523331,0.05257045368580462,3.139249895381034,1.3097167492736814,4.1713090451583295,0.014660222165882794,0.4139641443198923,0.0007360239913732324,0.541705568578665
15,-84.52704063296129,0.01573399351318978,0.0033647758271689544,0.021941895851295783,3.11390413656485,4.7636562170228265,0.8181362517268423,0.0017125360365154833,0.11204118258618913,0.18563076471568207,0.0
16,-94.96284673846515,0.016766285615382,0.0011367588076150034,0.004446687475396669,4.171903936875192,3.380587592676625,3.1404945834660194,0.020719787392878507,0.004434827165243851,0.20507957274711505,0.4664079594475419
