generation,best_fitness,best_ever,mean_fitness,std_fitness,sigma,total_evals,elapsed,migrations
1,-119.70240893283975,-119.70240893283975,-465.82725031818734,182.76279869271625,0.6978180980829127,540,1.0,0
2,-48.86710730345661,-48.86710730345661,-421.23082209452843,184.97150037064702,0.6957221654406838,1080,2.0,0
3,-103.59919115203404,-48.86710730345661,-379.405272603006,168.85328537875387,0.6936957605798737,1620,2.9,0
4,-103.78858001718531,-48.86710730345661,-391.47398741695184,206.66680436179482,0.6917270324733651,2160,3.8,0
