generation,best_fitness,mean_fitness,std_fitness,mutation_rate
0,-142.15420732228625,-499.6089348349788,279.07302384973383,0.05
1,-131.85866389860345,-431.95462255510233,249.75211173176208,0.05
2,-113.41187191315728,-284.4050889715554,234.0187757258746,0.05
3,-113.41187191315728,-214.31970738243896,192.77141479548936,0.05
4,-113.41187191315728,-213.14845468722203,161.64026994570892,0.05
5,-95.4787377982012,-213.42198583900438,163.48211041362248,0.05
6,-95.4787377982012,-201.61651413348815,148.47916428667878,0.05
7,-95.4787377982012,-219.96841233053001,172.3658680754727,0.05
8,-95.4787377982012,-193.35782530069164,149.64086071338184,0.05
9,-21.15634479290155,-177.2748515678226,121.24162969186173,0.05
10,-21.15634479290155,-178.36655164665456,134.5924225748414,0.05
11,-21.15634479290155,-210.5560297757966,173.4029737590717,0.05
12,-21.15634479290155,-176.89002495667162,118.4257724777898,0.05
13,-21.15634479290155,-224.90087154778396,188.92867980804604,0.05
14,-21.15634479290155,-208.32478465694163,164.2861619700606,0.05
15,-21.15634479290155,-205.2851091686746,183.22496752410495,0.05
16,-21.15634479290155,-172.35536652365187,124.01984085256515,0.05
17,-21.15634479290155,-267.08009506251005,306.58592599932547,0.05
18,-21.15634479290155,-186.80936264205303,140.54917721394278,0.05
19,-21.15634479290155,-161.02414445966338,92.8876484093518,0.05
20,-21.15634479290155,-201.0175174963424,181.90479244177106,0.05
21,-21.15634479290155,-201.29421415238392,167.98453124770094,0.05
22,-21.15634479290155,-192.52236019278064,146.36947411593937,0.05
23,-21.15634479290155,-201.93471366599178,175.91806976733895,0.05
24,-21.15634479290155,-181.05351511814217,125.88016957756969,0.05
25,-21.15634479290155,-195.59893995431338,168.6337923037436,0.05
26,-21.15634479290155,-190.33785022467094,145.29055326001594,0.05
27,-21.15634479290155,-176.57067520503344,128.45569434385197,0.05
28,-21.15634479290155,-183.22691404954688,155.82732268122868,0.05
29,-21.15634479290155,-199.022517305266,156.6934708936849,0.05
30,-21.15634479290155,-220.17079677495695,212.22506556178476,0.05
31,-21.15634479290155,-183.92988970140587,142.30514396400463,0.05
32,-21.15634479290155,-202.95592342360888,186.79695031849394,0.05
33,-21.15634479290155,-189.5926881739532,141.8476205458246,0.05
34,-21.15634479290155,-186.44715435816673,138.58147460309084,0.05
35,-21.15634479290155,-183.88100220105324,134.0829165773295,0.05
36,-21.15634479290155,-199.72535195950252,167.9876061395113,0.05
37,-21.15634479290155,-161.5184329096731,100.33142054313939,0.05
38,-21.15634479290155,-189.61566081469837,147.61139161028635,0.05
39,18.04943889702801,-184.58738920857067,191.9697808408656,0.04699176018382867
40,18.04943889702801,-154.0811876794724,71.83191599619279,0.04699176018382867
41,18.04943889702801,-206.778679839074,166.8911498679746,0.04699176018382867
42,18.04943889702801,-201.18521291089976,168.915715273401,0.04699176018382867
43,18.04943889702801,-181.07941969630667,156.63326146505125,0.04699176018382867
44,18.04943889702801,-202.21129424921958,192.3480933730567,0.04699176018382867
45,18.04943889702801,-183.77984852583194,156.98394329093762,0.04699176018382867
46,18.04943889702801,-177.28658086856834,115.63956820917228,0.04699176018382867
47,18.04943889702801,-187.80025061583206,157.64576063359945,0.04699176018382867
48,18.04943889702801,-161.45137997319685,92.70338236182296,0.04699176018382867
49,18.04943889702801,-234.07388923518886,221.28096310578064,0.04699176018382867
